item,price
Pop Corn,70
Nuggets,70
Lays,60
Smiley,60
Potato Pops,60
Chicken Pop Corn,70
Chicken Nuggets,70
Mini Idli (1pc),25
Thatte Idli (1pc),40
Bread Pakoda,25
Chilli Bajji (4pc),30
Banana Bajji (4pc),30
Maddur Vada (2pc),20
Veg Manchurian,110
Chilli Chicken,110
Chicken Manchurian,110
Egg Butter Garlic Noodles,100
Chicken Butter Garlic Noodles,110
Egg Butter Garlic Noodles Combo,120
Chicken Butter Garlic Noodles Combo,140
Chole Bhature (2pc),80
Paneer Sabzi Combo,100
Dal Khichadi,70
Jeera Rice with Dal Tadka,80
Aloo Paratha with Curd,60
Aloo Cheese Paratha with Curd,80
Paneer Paratha with Curd,90
Chicken Biryani,130
Chicken Kabab Biryani,140
Egg Biryani,110
Veg Donne Biryani,90
Veg Donne Biryani Combo,140
Tea (Regular/Filter/Ginger),12
Coffee (Espresso/Black/Ginger),12
Juices (Lemon/Watermelon/Muskmelon),25
Milk Shakes (Banana/Sapota/Apple),50
Special Shakes (Oreo/Bubblegum/Cotton Candy),65
